Variable,Type,Description,Used_For
month_date,Date,First day of each month,Time reference
month_num,Numeric,Sequential month number (1-36),Time trend analysis
marketing_spend,Numeric,Monthly marketing expenditure ($),Revenue predictor
customer_count,Numeric,Number of active customers,Revenue predictor
economic_index,Numeric,Economic indicator (base 100),Sales audit predictor
production_volume,Numeric,Units produced in the month,Expense predictor
employee_count,Numeric,Number of employees,Expense predictor
revenue,Numeric,Monthly revenue ($),Revenue model target
operating_expenses,Numeric,Monthly operating expenses ($),Expense model target
reported_sales,Numeric,Sales as reported - contains anomalies ($),Audit analysis target
